Cathode,Anode,Faraday efficiency(%)
-1.3,2.5,10.71702947
-1.3,2.7,9.260123977
-1.3,2.9,9.833672829
-1.3,3.1,6.69623573
-1.5,2.7,14.35965398
-1.5,2.9,11.18521688
-1.5,3.1,10.85359598
-1.7,2.5,13.27898544
-1.7,2.7,17.28459643
-1.7,2.9,16.65666027
-1.7,3.1,16.34701645
-1.9,2.5,9.431391163
-1.9,2.7,11.26761264
-1.9,2.9,11.03177317
-1.9,3.1,15.68031647
-2.1,2.5,4.710530636
-2.1,2.7,7.614651204
-2.1,2.9,8.57051385
-2.1,3.1,9.221274781
-1.7,3,15.31048586
-2.1,3,7.505661418
-1.65,3,12.59916891
-1.3,3,7.653635466
-1.5,2.55,16.30866788
-2,3,9.197346926
-1.4,3,9.510104939
-1.6,2.8,17.87274902
-1.8,2.8,11.23594518
-1.8,3,12.60692238
-1.8,2.7,16.58317274
-1.6,2.7,26.20560441
-1.8,3.1,28.83077128
-1.6,3.1,20.38359882
-1.7,2.8,14.54432171
